-------------------- 12万以下 --------------------
id	src_id	name	guide_price	user_score	preserve_range	preserve_mean	cat_name	grade	engine	charge_fast	charge_slow	mileag	index_url	energy_type	max_power	max_torque	oil_wear	max_horse	max_speed	office_acc_time	battery_capacity	wordmouth_num	yiche_score	pc_score	score
308	2769	东南汽车-V5菱致	6.59-8.09	4.07	37.860000-63.670000	49.026	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/2769/#pvareaid=2042208	汽油	88.0	143.0	5.8	120.0	0	0	0	23	4.29	37.0	0.13208922253968197
225	2806	比亚迪-速锐	5.99-9.59	4.26	40.220000-67.250000	52.808	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/2806/#pvareaid=2042208	汽油	80.0	145.0	5.9	109.0	0	0	0	40	4.34	47.2	0.13199839693028478
301	470	一汽海马-福美来	6.88-9.28	4.46	36.760000-60.620000	48.034	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/470/#pvareaid=2042208	汽油	92.0	161.0	6.2	125.0	0	0	0	210	0	39.4	0.12976589722931384
267	2791	北京汽车-绅宝D50	6.79-9.69	4.42	32.640000-53.950000	42.434	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/2791/#pvareaid=2042208	汽油	85.0	148.0	5.9	116.0	0	0	0	81	4.59	34.1	0.12569356670044363
133	407	比亚迪-比亚迪F3	4.39-7.79	4.15	35.500000-61.960000	47.606	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/407/#pvareaid=2042208	汽油	80.0	145.0	6.2	109.0	0	0	0	79	3.95	4.59	0.12287279656156898
335	4371	众泰汽车-众泰Z360	5.88-8.68	3.81	37.630000-60.780000	46.996	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4371/#pvareaid=2042208	汽油	82.0	141.0	6.7	112.0	0	0	0	10	4.7	44.1	0.11773070765961893
324	2323	华晨中华-中华H530	8.58-9.58	3.78	25.720000-56.300000	39.972	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/2323/#pvareaid=2042208	汽油	87.0	151.0	6.96556	118.0	0	0	0	6	4.43	44.1	0.11335721709241625
==================================================
-------------------- 12-28万 --------------------
id	src_id	name	guide_price	user_score	preserve_range	preserve_mean	cat_name	grade	engine	charge_fast	charge_slow	mileag	index_url	energy_type	max_power	max_torque	oil_wear	max_horse	max_speed	office_acc_time	battery_capacity	wordmouth_num	yiche_score	pc_score	score
4	135	东风本田-思域	11.59-16.99	4.4	48.300000-77.680000	61.558	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/135/#pvareaid=2042208	汽油	130.0	220.0	5.7	177.0	200.0	8.7	0	3047	4.53	4.12	0.2416007571220398
19	4817	北京现代-菲斯塔	11.98-15.48	4.6	55.420000-87.030000	71.502	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/4817/#pvareaid=2042208	汽油	150.0	265.0	5.9	204.0	220.0	0	0	218	4.51	69.3	0.231051631141454
79	835	上汽集团-名爵6	9.68-14.68	4.7	30.150000-55.970000	42.802	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/835/#pvareaid=2042208	汽油	124.0	250.0	5.8	169.0	210.0	0	0	3308	4.76	0	0.22441447842121126
31	4402	领克-领克03	11.68-15.18	4.59	52.190000-80.780000	65.93	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4402/#pvareaid=2042208	汽油	132.0	265.0	5.9	180.0	205.0	7.9	0	216	4.56	73.0	0.20937509536370635
124	4246	上汽集团-荣威i6	8.98-14.38	4.57	41.180000-65.050000	52.3	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4246/#pvareaid=2042208	汽油	124.0	250.0	5.9	169.0	210.0	8.5	0	1503	4.64	49.3	0.20759670993685725
278	2256	现代(进口)-Veloster飞思	17.28-21.98	4.28	40.710000-67.630000	54.734	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/2256/#pvareaid=2042208	汽油	150.0	265.0	6.7	204.0	225.0	7.3	0	36	4.29	46.8	0.2015293922517449
8	442	一汽-大众-速腾	13.18-21.88	4.45	47.440000-72.220000	59.874	轿车	紧凑型车	1.4	0	0	0	//www.autohome.com.cn/442/#pvareaid=2042208	汽油	110.0	250.0	5.9	150.0	210.0	9.2	0	990	4.67	3.9	0.19659909154474736
69	3104	东风本田-杰德	12.99-17.99	4.32	52.720000-77.250000	64.64	轿车	紧凑型车	1.8	0	0	0	//www.autohome.com.cn/3104/#pvareaid=2042208	汽油	115.0	203.0	6.9	156.0	187.0	10.5	0	300	4.68	72.7	0.19355631188303232
25	3294	长安马自达-马自达3 Axela昂克赛拉	11.29-16.29	4.44	50.520000-74.570000	62.002	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3294/#pvareaid=2042208	汽油	86.0	148.0	5.9	117.0	184.0	0	0	1861	4.24	72.8	0.19183324372768404
24	3457	上汽大众-凌渡	14.59-22.89	4.44	47.880000-76.420000	61.868	轿车	紧凑型车	1.4	0	0	0	//www.autohome.com.cn/3457/#pvareaid=2042208	汽油	110.0	250.0	5.4	150.0	215.0	8.5	0	137	4.62	74.8	0.19132919683866206
22	871	一汽-大众-高尔夫	12.19-23.99	4.38	50.180000-76.890000	63.562	轿车	紧凑型车	1.4	0	0	0	//www.autohome.com.cn/871/#pvareaid=2042208	汽油	110.0	250.0	5.7	150.0	215.0	8.2	0	53	4.64	0	0.1891960002053529
32	3085	广汽本田-凌派	9.98-14.98	4.33	53.310000-79.060000	66.48	轿车	紧凑型车	1.8	0	0	0	//www.autohome.com.cn/3085/#pvareaid=2042208	汽油	100.0	169.0	6.3	136.0	195.0	0	0	52	4.49	68.1	0.1871300295190886
215	2945	东风雪铁龙-雪铁龙C4L	13.49-18.29	4.38	40.330000-64.510000	51.804	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/2945/#pvareaid=2042208	汽油	123.0	245.0	6.0	167.0	215.0	0	0	3	4.73	46.8	0.1868052807545173
119	987	东风标致-标致408	11.97-16.97	4.54	37.050000-61.890000	48.92	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/987/#pvareaid=2042208	汽油	123.0	245.0	5.9	167.0	215.0	0	0	12	4.62	4.62	0.1852498312375974
132	3964	一汽-大众-高尔夫·嘉旅	13.19-19.79	4.55	49.480000-74.110000	61.826	轿车	紧凑型车	1.4	0	0	0	//www.autohome.com.cn/3964/#pvareaid=2042208	汽油	110.0	250.0	6.0	150.0	210.0	10.0	0	5	4.71	74.5	0.18463114980573303
158	4552	上汽通用别克-阅朗	11.99-14.79	4.56	41.880000-64.790000	53.062	轿车	紧凑型车	1.3	0	0	0	//www.autohome.com.cn/4552/#pvareaid=2042208	汽油	120.0	230.0	5.2	163.0	195.0	0	0	30	4.88	48.0	0.18326136582857
53	3751	上汽通用别克-威朗	13.59-18.59	4.53	37.710000-60.720000	47.964	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3751/#pvareaid=2042208	汽油	124.0	250.0	5.9	169.0	180.0	8.8	0	161	4.87	70.4	0.18093688257038593
57	3959	北京现代-领动	9.98-15.18	4.46	47.570000-72.180000	59.724	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3959/#pvareaid=2042208	汽油	95.6	211.0	6.1	130.0	204.0	0	0	321	4.66	65.8	0.18023704481124878
10	526	一汽丰田-卡罗拉	10.78-17.58	4.54	51.110000-76.390000	63.296	轿车	紧凑型车	1.2	0	0	0	//www.autohome.com.cn/526/#pvareaid=2042208	汽油	85.0	185.0	4.2	116.0	180.0	0	0	380	4.44	68.2	0.17920924916863443
105	425	东风日产-骐达	9.99-13.49	4.36	50.460000-79.320000	65.252	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/425/#pvareaid=2042208	汽油	93.0	154.0	5.6	126.0	180.0	11.7	0	8	4.39	69.9	0.17867338990210557
70	4882	上汽通用雪佛兰-沃兰多	11.49-15.49	4.57	48.380000-74.860000	60.976	轿车	紧凑型车	1.3	0	0	0	//www.autohome.com.cn/4882/#pvareaid=2042208	汽油	120.0	230.0	6.7	163.0	190.0	0	0	5	4.47	72.9	0.17771012268180494
261	3309	长安标致雪铁龙-DS 5LS	16.88-22.98	4.64	32.790000-57.170000	43.696	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3309/#pvareaid=2042208	汽油	123.0	240.0	6.3	167.0	212.0	9.6	0	15	4.66	52.5	0.1762767601001542
